textbox4,textbox21,textbox17,JobOrderID,JobCity,JobTitle,MonthsExp,MinAge,Wage,SalaryUnit,Hours,EduLvl,FullPartTime,DriversLicenseReq,textbox8
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,3112528,SULPHUR SPRINGS,1st Shift Assemblers -Sulphur Springs,6  ,,11.21,Hour      ,,High School Diploma or Equivalent,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,3674112,SULPHUR SPRINGS,1st Shift Packers- Sulphur Springs,6  ,,11.00,Hour      ,,High School Diploma or Equivalent,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,5433754,WINNSBORO,2nd Shift Assemblers- Sulphur Springs,6  ,,11.72,Hour      ,,High School Diploma or Equivalent,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,8743994,SULPHUR SPRINGS,2nd Shift Packers-Sulphur Springs,0  ,,11.25,Hour      ,,,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,5433740,SULPHUR SPRINGS,3rd Shift Packers- Sulphur Springs,0  ,,11.50,Hour      ,,,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,3122280,SULPHUR SPRINGS,ACCOUNT SPECIALIST,12 ,,,Other     ,,High School Diploma or Equivalent,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,5435296,SULPHUR SPRINGS,Admin Assistant/HR Generalist,12 ,,,Other     ,,High School Diploma or Equivalent,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,13777165,Sulphur Springs,Apartment Make Ready (Part time),1  ,18,,Hour      ,,No Minimum Education Requirement,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,3677833,SULPHUR SPRINGS,Apartment Make Ready/General Laborers,6  ,,0.00,Other     ,,,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,3106764,SULPHUR SPRINGS,Assemblers,6  ,,,Other     ,,High School Diploma or Equivalent,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,8754874,SULPHUR SPRINGS,Assistant Manager,0  ,,,Other     ,,High School Diploma or Equivalent,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,5445769,COOPER,Attendant,0  ,,,Other     ,,,Part Time (Less than 30 Hours),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,3704400,SULPHUR SPRINGS,Attendant - COOPER,0  ,,7.50,Hour      ,,,Part Time (Less than 30 Hours),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,8757578,COOPER,Attendant - SULPHUR SPRINGS,0  ,,7.50,Hour      ,,,Part Time (Less than 30 Hours),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,7416052,SULPHUR SPRINGS,ATTENDANTS,6  ,,,Other     ,,,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,3122062,COOPER,ATTENDANTS,6  ,,,Other     ,,,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,8681665,MT. VERNON,Automotive Mechanic,6  ,,0.00,Other     ,,,Full Time (30 Hours or More),"Yes, Commercial License",Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,6679992,CUMBY,Aviation Hauler,12 ,,1000.00,Week      ,,,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,7423570,SULPHUR SPRINGS,Baker,0  ,,,Other     ,,,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,13783588,SULPHUR SPRINGS,Bilingual Office Assistant,0  ,,,Other     ,,High School Diploma or Equivalent,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,3097525,SULPHUR SPRINGS,Bilingual Office Clerk (Part Time),6  ,,,Other     ,,,Part Time (Less than 30 Hours),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,8676922,MT. VERNON,Bus Driver,0  ,,,Other     ,,High School Diploma or Equivalent,Full Time (30 Hours or More),"Yes, Operator License",Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,7402314,SULPHUR SPRINGS,Butcher/ Meat Packaging- Sulphur Springs,0  ,,10.00,Hour      ,,,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,13815596,COOPER,Caregiver - Attendant - F/T and P/T,0  ,,0.00,Other     ,,No Minimum Education Requirement,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,3110664,SULPHUR SPRINGS,CARPENTER,12 ,,,Other     ,,,Full Time (30 Hours or More),"Yes, Commercial License",Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,5447550,SULPHUR SPRINGS,CARPENTER / REMODELER,12 ,,,Other     ,,,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,3126543,SULPHUR SPRINGS,Cashier,12 ,,,Other     ,,High School Diploma or Equivalent,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,7413129,SULPHUR SPRINGS,Cashier,0  ,,7.25,Hour      ,,,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,8752128,SULPHUR SPRINGS,Cashier,0  ,,0.00,Other     ,,,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,8752124,SULPHUR SPRINGS,Cashier,0  ,,,Other     ,,,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,8752122,SULPHUR SPRINGS,Cashier,0  ,,,Other     ,,,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,6747036,SULPHUR SPRINGS,Cashier (P/T),0  ,,,Other     ,,,Part Time (Less than 30 Hours),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,6740339,SCROGGINS,Cashier/Cook,0  ,,7.50,Hour      ,,High School Diploma or Equivalent,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,3126516,SULPHUR SPRINGS,Cashier/Counter Help,0  ,,,Other     ,,High School Diploma or Equivalent,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,3714529,SULPHUR SPRINGS,Cashier/Counter Help/Cook,0  ,,0.00,Other     ,,High School Diploma or Equivalent,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,5438722,SULPHUR SPRINGS,Cashiers,0  ,,,Other     ,,High School Diploma or Equivalent,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,5454884,COMO,Cashiers/Cooks,0  ,,,Other     ,,High School Diploma or Equivalent,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,5454877,SULPHUR SPRINGS,Cashiers/Cooks,0  ,,,Other     ,,High School Diploma or Equivalent,Full Time (30 Hours or More),No,Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,7423472,COMO,CDL Driver,24 ,,,Other     ,,,Full Time (30 Hours or More),"Yes, Operator License",Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,8767694,SULPHUR SPRINGS,CDL Truck Drivers,24 ,,0.00,Other     ,,High School Diploma or Equivalent,Full Time (30 Hours or More),"Yes, Operator License",Total Job Postings:     222
Job Order Report - Daily Jobs for Quick Posting," - Region/LWIA: Northeast Texas WF Board
 - Office: 1036 WFS NETX SS
 - Employer Job Order Status: Open and available
 - Staff Job Order Status: Open and available
 - Display Type: Unsuppressed Job Order,Suppressed Job Order
 - Any Timeframe
",There are no records that meet the selected criteria.,13814525,SULPHUR SPRINGS,Cemetery Maintenance Assistant,1  ,,10.00,Hour      ,,,Full Time (30 Hours or More),No,Total Job Postings:     222
